Time,News Snippet,AI Verdict,Confidence,User Feedback
2026-04-18 00:05,India Launches Gaganyaan Mission Successfully  The...,REAL NEWS,72.07%,No Feedback Yet
2026-04-18 17:54,"""The James Webb Space Telescope, operated by NASA,...",REAL NEWS,87.96%,No Feedback Yet
2026-04-18 17:55,"""In a historic infrastructure development today, t...",REAL NEWS,72.98%,No Feedback Yet
2026-04-18 17:55,"""In a historic infrastructure development today, t...",REAL NEWS,75.19%,No Feedback Yet
2026-04-18 18:07,"""In a historic infrastructure development today, t...",REAL NEWS,75.19%,No Feedback Yet
2026-04-18 18:07,"""In a historic infrastructure development today, t...",REAL NEWS,75.19%,No Feedback Yet
2026-04-18 18:43,A comprehensive clinical study conducted over five...,REAL NEWS,79.69%,No Feedback Yet
2026-04-18 18:43,A comprehensive clinical study conducted over five...,REAL NEWS,79.69%,No Feedback Yet
2026-04-18 18:43,"In a press conference held today in Geneva, the In...",REAL NEWS,59.7%,No Feedback Yet
2026-04-18 18:43,"In a press conference held today in Geneva, the In...",REAL NEWS,59.7%,No Feedback Yet
2026-04-18 18:43,"In a press conference held today in Geneva, the In...",REAL NEWS,59.7%,No Feedback Yet
2026-04-18 18:43,"In a press conference held today in Geneva, the In...",REAL NEWS,59.7%,No Feedback Yet
2026-04-18 18:44,"In a press conference held today in Geneva, the In...",REAL NEWS,59.7%,No Feedback Yet
2026-04-18 18:44,"In a press conference held today in Geneva, the In...",REAL NEWS,59.7%,No Feedback Yet
2026-04-18 18:44,"In a press conference held today in Geneva, the In...",REAL NEWS,59.7%,No Feedback Yet
2026-04-18 18:44,Mumbai Metro Line 3 Opens After Nine Years of Cons...,REAL NEWS,74.21%,No Feedback Yet
2026-04-18 18:44,SHOCKING: Government Announces 200% Tax on All Ban...,FAKE NEWS,56.29%,No Feedback Yet
2026-04-18 18:46,India Launches Gaganyaan Mission Successfully  The...,REAL NEWS,72.07%,No Feedback Yet
2026-04-18 18:47,India Launches Gaganyaan Mission Successfully  The...,REAL NEWS,72.07%,No Feedback Yet
2026-04-18 18:47,India Launches Gaganyaan Mission Successfully  The...,REAL NEWS,72.07%,No Feedback Yet
2026-04-18 18:47,India Launches Gaganyaan Mission Successfully  The...,REAL NEWS,72.07%,No Feedback Yet
2026-04-18 18:48,India Launches Gaganyaan Mission Successfully  The...,REAL NEWS,72.07%,No Feedback Yet
2026-04-18 18:49,Even as the debate surrounding reservations to wom...,REAL NEWS,60.35%,No Feedback Yet
2026-04-18 18:49,Even as the debate surrounding reservations to wom...,REAL NEWS,60.35%,No Feedback Yet
2026-04-18 18:57,retgergelkrughyuerbgerkluhgiuerhnfgbe yurbqj3brfjb...,REAL NEWS,92.97637286411016%,No Feedback Yet
2026-04-18 18:57,retgergelkrughyuerbgerkluhgiuerhnfgbe yurbqj3brfjb...,REAL NEWS,92.97637286411016%,No Feedback Yet
2026-04-18 18:58,India Launches Gaganyaan Mission Successfully  The...,REAL NEWS,72.06787887314735%,No Feedback Yet
2026-04-18 18:58,SHOCKING: Government Announces 200% Tax on All Ban...,FAKE NEWS,95%,No Feedback Yet
2026-04-18 18:58,SHOCKING: Government Announces 200% Tax on All Ban...,FAKE NEWS,95%,No Feedback Yet
2026-04-18 19:01,EUIRYHBNGUEYORBGYUIERBFITYVWEUTIGFVHJGKWERRVFJEQRH...,FAKE NEWS,95%,No Feedback Yet
2026-04-18 19:01,EUIRYHBNGUEYORBGYUIERBFITYVWEUTIGFVHJGKWERRVFJEQRH...,FAKE NEWS,95%,No Feedback Yet
2026-04-18 19:01,erfguhbihbunerghbunergerghbunhbunerg8wertuohbererh...,REAL NEWS,92.97637286411016%,No Feedback Yet
2026-04-18 19:25,"""NASA's Perseverance rover has made a groundbreaki...",FAKE NEWS,95%,No Feedback Yet
2026-04-18 19:26,"""NASA's Perseverance rover has made a groundbreaki...",FAKE NEWS,95%,No Feedback Yet
2026-04-18 19:27,"In an unprecedented move for the Indian economy, U...",FAKE NEWS,95%,No Feedback Yet
2026-04-18 19:28,"In an unprecedented move for the Indian economy, U...",FAKE NEWS,95%,No Feedback Yet
2026-04-18 19:28,"In an unprecedented move for the Indian economy, U...",FAKE NEWS,95%,No Feedback Yet
2026-04-18 19:29,"""The absolute DISASTER unfolding in the capital ri...",FAKE NEWS,81.81630057394305%,No Feedback Yet
2026-04-18 19:29,"""The absolute DISASTER unfolding in the capital ri...",FAKE NEWS,81.81630057394305%,No Feedback Yet
2026-04-18 19:29,"""The Department of Education released a new policy...",REAL NEWS,52.753275528648736%,No Feedback Yet
2026-04-18 19:30,"""The Department of Education released a new policy...",REAL NEWS,52.753275528648736%,No Feedback Yet
2026-04-18 19:31,"Doctors Reveal: Drinking Hot Water Cures Cancer, D...",FAKE NEWS,95%,No Feedback Yet
2026-04-18 19:33,After Melania Trump’s recent statement confirming ...,FAKE NEWS,53.85822063874221%,No Feedback Yet
2026-04-18 19:35,The UN flag flies on a stormy day at the United Na...,REAL NEWS,75.96269897693115%,No Feedback Yet
